fram_x,predict
0,7
1,7
2,11
3,12
4,18
5,19
6,21
7,21
8,19
9,21
10,25
11,20
12,17
13,18
14,15
15,20
16,18
17,24
18,20
19,24
20,29
21,8
22,7
23,10
24,15
25,14
26,19
27,20
28,17
29,19
30,21
31,19
32,19
33,19
34,22
35,21
36,25
37,1
38,2
39,2
40,5
41,2
42,0
43,2
44,0
45,3
46,2
47,0
48,1
49,0
50,2
51,4
52,3
53,6
54,1
55,5
56,1
57,2
58,0
59,2
60,2
61,3
62,0
63,2
64,0
65,2
66,0
67,0
68,1
69,1
70,2
71,0
72,1
73,1
74,1
75,5
76,9
77,3
78,3
79,1
80,3
81,3
82,2
83,3
84,3
85,1
86,1
87,1
88,2
89,1
90,1
91,1
92,0
93,2
94,0
95,3
96,1
97,3
98,2
99,2
100,4
101,2
102,3
103,4
104,0
105,3
106,1
107,0
108,4
109,4
110,4
111,1
112,2
113,1
114,3
115,1
116,5
117,2
118,8
119,7
120,4
121,3
122,5
123,3
124,4
125,2
126,3
